File_name,Count,Day,Fluor_type,Lower_threshold,Well_no,Soil_initials,Soil_type,Sterilization_status,Inoc_type,
Bd_D7_D9_live,275,7,green,10,D9,CD,Clingman's Dome,Autoclaved,10^3,used Sarah's count
Bd_D7_D10_dead,40,7,red,10,D10,CD,Clingman's Dome,Autoclaved,10^5,used Sarah's count
Bd_D7_D10_live,317,7,green,10,D10,CD,Clingman's Dome,Autoclaved,10^5,used Sarah's count
Bd_D7_D11_dead,59,7,red,10,D11,CD,Clingman's Dome,Autoclaved,10^5,used Sarah's count
Bd_D7_D11_live,438,7,green,10,D11,CD,Clingman's Dome,Autoclaved,10^5,used Sarah's count
Bd_D7_D12_dead,22,7,red,10,D12,CD,Clingman's Dome,Autoclaved,10^5,used Sarah's count
Bd_D7_D12_live,255,7,green,10,D12,CD,Clingman's Dome,Autoclaved,10^5,used Sarah's count
Bd_D7_E1_dead,357,7,red,10,E1,MC,Mt Cammerer,Non-autoclaved,10^3,used Sarah's count
Bd_D7_E1_live,1302,7,green,10,E1,MC,Mt Cammerer,Non-autoclaved,10^3,
Bd_D7_E2_dead,254,7,red,10,E2,MC,Mt Cammerer,Non-autoclaved,10^3,used Sarah's count
Bd_D7_E2_live,1042.5,7,green,10,E2,MC,Mt Cammerer,Non-autoclaved,10^3,
Bd_D7_E3_dead,434,7,red,10,E3,MC,Mt Cammerer,Non-autoclaved,10^3,used Sarah's count
Bd_D7_E3_live,1081,7,green,10,E3,MC,Mt Cammerer,Non-autoclaved,10^3,
Bd_D7_E4_dead,515,7,red,10,E4,MC,Mt Cammerer,Non-autoclaved,10^5,used Sarah's count
Bd_D7_E4_live,1374.5,7,green,10,E4,MC,Mt Cammerer,Non-autoclaved,10^5,
Bd_D7_E5_dead,164,7,red,10,E5,MC,Mt Cammerer,Non-autoclaved,10^5,used Sarah's count
Bd_D7_E5_live,1264.5,7,green,10,E5,MC,Mt Cammerer,Non-autoclaved,10^5,
