File_name,Count,Day,Fluor_type,Lower_threshold,Well_no,Soil_initials,Soil_type,Sterilization_status,Inoc_type
Bd_D4_B4_live,1886,4,Green,10,B4,FD,Fontana Dam,Non-autoclaved,10^5
Bd_D4_B5_dead,0,4,Red,10,B5,FD,Fontana Dam,Non-autoclaved,10^5
Bd_D4_B5_live,1228,4,Green,10,B5,FD,Fontana Dam,Non-autoclaved,10^5
Bd_D4_B6_dead,0,4,Red,10,B6,FD,Fontana Dam,Non-autoclaved,10^5
Bd_D4_B6_live,748,4,Green,10,B6,FD,Fontana Dam,Non-autoclaved,10^5
Bd_D4_B7_dead,0,4,Red,10,B7,FD,Fontana Dam,Autoclaved,10^3
Bd_D4_B7_live,58,4,Green,10,B7,FD,Fontana Dam,Autoclaved,10^3
Bd_D4_B8_dead,0,4,Red,10,B8,FD,Fontana Dam,Autoclaved,10^3
Bd_D4_B8_live,525,4,Green,10,B8,FD,Fontana Dam,Autoclaved,10^3
Bd_D4_B9_dead,0,4,Red,10,B9,FD,Fontana Dam,Autoclaved,10^3
Bd_D4_B9_live,285,4,Green,10,B9,FD,Fontana Dam,Autoclaved,10^3
Bd_D4_B10_dead,0,4,Red,10,B10,FD,Fontana Dam,Autoclaved,10^5
Bd_D4_B10_live,135,4,Green,10,B10,FD,Fontana Dam,Autoclaved,10^5
Bd_D4_B11_dead,0,4,Red,10,B11,FD,Fontana Dam,Autoclaved,10^5
Bd_D4_B11_live,527,4,Green,10,B11,FD,Fontana Dam,Autoclaved,10^5
Bd_D4_B12_dead,0,4,Red,10,B12,FD,Fontana Dam,Autoclaved,10^5
Bd_D4_B12_live,489,4,Green,10,B12,FD,Fontana Dam,Autoclaved,10^5
Bd_D4_C1_dead,0,4,Red,10,C1,NG,Newfound Gap,Non-autoclaved,10^3
Bd_D4_C1_live,331,4,Green,10,C1,NG,Newfound Gap,Non-autoclaved,10^3
Bd_D4_C2_dead,0,4,Red,10,C2,NG,Newfound Gap,Non-autoclaved,10^3
Bd_D4_C2_live,1061,4,Green,10,C2,NG,Newfound Gap,Non-autoclaved,10^3
Bd_D4_C3_dead,0,4,Red,10,C3,NG,Newfound Gap,Non-autoclaved,10^3
Bd_D4_C3_live,923,4,Green,10,C3,NG,Newfound Gap,Non-autoclaved,10^3
Bd_D4_C4_dead,0,4,Red,10,C4,NG,Newfound Gap,Non-autoclaved,10^5
Bd_D4_C4_live,755,4,Green,10,C4,NG,Newfound Gap,Non-autoclaved,10^5
Bd_D4_C5_dead,0,4,Red,10,C5,NG,Newfound Gap,Non-autoclaved,10^5
Bd_D4_C5_live,1850,4,Green,10,C5,NG,Newfound Gap,Non-autoclaved,10^5
Bd_D4_C6_dead,0,4,Red,10,C6,NG,Newfound Gap,Non-autoclaved,10^5
Bd_D4_C6_live,1003,4,Green,10,C6,NG,Newfound Gap,Non-autoclaved,10^5
Bd_D4_C7_dead,0,4,Red,10,C7,NG,Newfound Gap,Autoclaved,10^3
Bd_D4_C7_live,117,4,Green,10,C7,NG,Newfound Gap,Autoclaved,10^3
Bd_D4_C8_dead,0,4,Red,10,C8,NG,Newfound Gap,Autoclaved,10^3
Bd_D4_C8_live,114,4,Green,10,C8,NG,Newfound Gap,Autoclaved,10^3
Bd_D4_C9_dead,0,4,Red,10,C9,NG,Newfound Gap,Autoclaved,10^3
Bd_D4_C9_live,130,4,Green,10,C9,NG,Newfound Gap,Autoclaved,10^3
Bd_D4_C10_dead,0,4,Red,10,C10,NG,Newfound Gap,Autoclaved,10^5
Bd_D4_C10_live,96,4,Green,10,C10,NG,Newfound Gap,Autoclaved,10^5
